noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
abadc72a-717a-45fc-9044-e7eb3dad334a,01,LOT-0001,cpv,45000000,"90911000,90911200,90910000",
3b62235d-ca80-4e03-9c3e-297de871fe80,01,LOT-0001,cpv,45112710,"45112700,45212221,45236119,45236110,45000000",
3084e989-acb5-4689-8ebb-6bf0ad8e0903,01,LOT-0001,cpv,45421153,"45420000,45421000,45421131",
07e2fa36-a8c8-4b6b-94d1-b5ec715848fc,01,LOT-0000,cpv,45262670,"45223210,45262410",
10b4365a-23af-4cbd-874f-5faa960c37e5,01,LOT-0001,cpv,45313100,,
2d885c65-7f8d-466b-ae79-a214d09abef4,01,LOT-0000,cpv,45441000,"45421100,45421130",
78a13158-21b8-4927-8497-55f095cffba6,01,LOT-0001,cpv,45432130,45432111,
37cdd9a6-65fb-4c7d-b7f5-ad7c7befc670,01,LOT-0001,cpv,45311000,,
46d59055-2d6b-4dd0-8259-86b3ae67397c,01,LOT-0000,cpv,45311000,,
3eb98c24-107b-4db4-9bc7-13790e23b295,01,LOT-0001,cpv,45000000,,
4d70dd3a-19b8-45bb-8fe1-cc4dbf9f9bc0,01,LOT-0001,cpv,45420000,,
2127b926-d426-4e4b-903f-6ca78cf49240,01,LOT-0000,cpv,45000000,45200000,
b5167006-df6c-4516-b249-954d8e8f3df2,01,LOT-0000,cpv,45312310,,
74213ead-8e86-41f8-b1d4-eff6c6ab222a,01,LOT-0001,cpv,45330000,"45331110,45332400",
58ff65ad-ad0d-43da-9705-373a3e18d3db,01,LOT-0000,cpv,45350000,,
c76203cb-e304-450e-ab70-f351183aeb21,01,LOT-0000,cpv,45000000,,
81db0040-7ed0-434a-947e-7113d2568512,01,LOT-0001,cpv,45221110,,
470072e8-59d4-460e-83d7-7ef747d9690f,01,LOT-0001,cpv,44212300,45223210,
c3a9b49a-2f04-4f8c-8eb2-c8341bbafabe,01,LOT-0000,cpv,45331210,,
ad444921-a025-4950-b270-afc0dd34dd39,01,LOT-0000,cpv,45000000,,
b86b2a2d-f22f-4843-9c9e-47873e5a5838,01,LOT-0000,cpv,45233120,,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0001,cpv,60600000,45314300,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0002,cpv,60600000,45314300,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0003,cpv,60600000,45314300,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0004,cpv,60600000,45314300,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0005,cpv,50532400,45314300,
5d148dca-836a-4cbe-8ad5-ef933ebbaa3b,01,LOT-0006,cpv,50532400,45314300,
8ec97d74-8d96-4e6a-a0e8-c75d7647570b,01,LOT-0001,cpv,45232210,45234100,
8ec97d74-8d96-4e6a-a0e8-c75d7647570b,01,LOT-0002,cpv,45232210,45234100,
8ec97d74-8d96-4e6a-a0e8-c75d7647570b,01,LOT-0003,cpv,45232210,45234100,
8ec97d74-8d96-4e6a-a0e8-c75d7647570b,01,LOT-0004,cpv,45232210,45234100,
90f332ed-04ca-467f-9af8-5e6e8e9ac165,01,LOT-0000,cpv,45421131,,
e9684303-556d-4be9-b2f7-525e90f7aa61,01,LOT-0001,cpv,45261410,45261300,
b6497276-a5eb-4c66-ac56-f86604960788,01,LOT-0001,cpv,45000000,"45331210,45331200,42520000,42521000,45331220",
01a0a444-1c07-471e-b755-941f4becd2ee,01,LOT-0001,cpv,42414000,"45241000,45223100",
1594f91b-44f6-456a-a325-ad98833404bc,01,LOT-0000,cpv,45000000,,
dc92350b-924f-472a-8ea4-53cee8ca4be7,01,LOT-0001,cpv,45311200,,
8850e2ed-8211-4877-8ce3-ab6cabf3515f,01,LOT-0001,cpv,45262330,,
625720a2-3dcb-4a88-b391-48aa63d0a10f,01,LOT-0001,cpv,45000000,"45421130,45421132,45421131,45421140,45421145,44221220",
2f3259ec-494a-445b-8973-8e88ea4d982b,01,LOT-0000,cpv,45331100,,
8d4a29da-6d95-436d-a0f7-26429bbf0f10,01,LOT-0001,cpv,45234100,"34944000,45000000,45112700,45200000,45210000,45213321,45220000,45221112,45221200,45221243,45221250,45223000,45223200,45223220,45234116,45234160,45259900,45261213,45311000,45314300,45314310,45332400,45453100",
8d4a29da-6d95-436d-a0f7-26429bbf0f10,01,LOT-0002,cpv,45234100,"34944000,45000000,45112700,45200000,45210000,45213321,45220000,45221112,45221200,45221243,45221250,45223000,45223200,45223220,45234116,45234160,45259900,45261213,45311000,45314300,45314310,45332400,45453100",
8d4a29da-6d95-436d-a0f7-26429bbf0f10,01,LOT-0003,cpv,45234100,"34944000,45000000,45112700,45200000,45210000,45213321,45220000,45221112,45221200,45221243,45221250,45223000,45223200,45223220,45234116,45234160,45259900,45261213,45311000,45314300,45314310,45332400,45453100",
915313db-1a99-4a68-802f-f0707033240b,01,LOT-0000,cpv,45442100,,
ed6675ff-7b24-4be8-8fe8-77d6714633f2,01,LOT-0001,cpv,45214220,"45262800,45421111,45421131",
09b85bf3-4637-4ffe-b72a-f4a851f18c50,01,LOT-0000,cpv,45214000,,
f9dc1e05-3689-41bc-b82b-4ebe5fc1ffb5,01,LOT-0001,cpv,45000000,"45112000,45112700",
5cff7c10-1e0e-4abe-8f0b-b6345a1362a0,01,LOT-0000,cpv,45221111,45233120,
50d1e5cc-c1ae-45b5-a685-505c1595d0c8,01,LOT-0000,cpv,45315300,,
a9cb14a8-596e-478a-a3e9-d94670549370,01,LOT-0000,cpv,45311000,,
44c726f4-e15d-43d3-84a5-0ceb2ecbff2a,01,LOT-0000,cpv,45214000,,
24f04cdc-1d87-4457-9ca5-1dfd450fe67b,01,LOT-0001,cpv,45223220,,
4a448abd-7f1f-4052-987f-f9aea3df2fb9,01,LOT-0001,cpv,45000000,"45324000,45421141,45421146,45421152",
d62756f0-2007-4111-b118-e5f44c943b18,01,LOT-0001,cpv,45216121,,
bb722a54-0ab3-4fed-ab47-3f00b6ada783,01,LOT-0001,cpv,45311200,"45315000,45315100,45315600",
5f734b5e-89a1-4d03-87e5-eb2f15ad7a35,01,LOT-0001,cpv,45442110,,
719c0678-a8c7-4e34-9073-1ea5837a8f61,01,LOT-0000,cpv,45000000,"45331000,45331200,45331210,45331220,45331230",
cb4cb836-775d-4166-864b-3717c808efc8,01,LOT-0001,cpv,45215100,,
f44ac8af-3eef-4a35-9414-dfa76e528ad8,01,LOT-0000,cpv,45000000,,
fab52f0b-58ae-47ed-bbbc-1d3829b47040,01,LOT-0000,cpv,45421132,,
b34d0781-ea79-41ab-9907-370f83e79047,01,LOT-0001,cpv,45343100,"45223220,45410000",
ff2ff8ed-94f5-47d4-9a40-d6363f5f5c5e,01,LOT-0000,cpv,45432130,"45214400,45432111",
3ee3ffd5-8ec5-4510-b21e-a9c074591fec,01,LOT-0000,cpv,45214000,,
a5670d06-f5c1-44a2-b02e-d00fe844880e,01,LOT-0000,cpv,45443000,,
e4d3e324-99ba-4975-82a6-24cd59e5aec6,01,LOT-0000,cpv,45421141,"45421152,44112310,45214100",
7576de88-72a4-4142-9bc0-0348aef4d44f,01,LOT-0001,cpv,45233120,"45112000,45233000,45233100,45233140,45233141,45233222,45233251,45233300,45247110",
c454fa91-86f5-4f3c-9109-a3bc53e13198,01,LOT-0000,cpv,45261410,,
3fdeb952-ef6e-40e5-a887-a7e2b7cf662f,01,LOT-0001,cpv,45262320,,
2a55e205-4e71-40a0-ac8c-75e8bb465205,01,LOT-0001,cpv,45223220,"45112500,45210000,45262510,45112710",
97342522-2e60-41ee-b63e-7fd68f818a0c,01,LOT-0001,cpv,45000000,"45111000,45231000,45231100",
75a604da-489d-4c11-8fa6-c21c913fafa8,01,LOT-0001,cpv,45311000,45314000,
48badf3d-488b-4187-a932-53f825f535a7,01,LOT-0000,cpv,45331100,"45332200,45332400",
655042ea-1acb-49b4-af80-c050e20f7f66,01,LOT-0001,cpv,45215100,"45331000,45331210",
c0fea23b-3299-4f7d-81f9-bd0dbeff808f,01,LOT-0000,cpv,45000000,,
ef80485e-9b72-4f69-8fac-b1ca556c920b,01,LOT-0001,cpv,45244000,90523100,
2fef9971-9508-4941-98cb-7c449a31e82e,01,LOT-0000,cpv,45200000,44520000,
846aa4fb-948a-48cf-9b6f-0b9d5add1ffa,05,LOT-0000,cpv,45111000,45111210,
ed9237f6-d2c2-4613-be5a-13617329b435,02,LOT-0001,cpv,45215100,"45232460,45332400",
9c08a1ab-83d4-49e8-a1d2-0cba0d37ceaa,01,LOT-0001,cpv,45215100,"45331000,45331231",
f7488eee-a1ed-4f47-b78a-a9219f06abe3,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
25826982,1,LOT-0000,cpv,45233144,,
25818322,2,LOT-0000,cpv,45,"43,44,71",
25822876,1,LOT-0000,cpv,45,"43,44,71",
25822880,1,LOT-0000,cpv,45,"43,44,71",
25822884,1,LOT-0000,cpv,45,"43,44,71",
25822892,1,LOT-0000,cpv,45,"43,44,71",
25822900,1,LOT-0000,cpv,45,"43,44,71",
25822904,1,LOT-0000,cpv,45,"43,44,71",
25822908,1,LOT-0000,cpv,45,"43,44,71",
25822912,1,LOT-0000,cpv,45,"43,44,71",
25822916,1,LOT-0000,cpv,45,"43,44,71",
25822920,1,LOT-0000,cpv,45,"43,44,71",
25822924,1,LOT-0000,cpv,45,"43,44,71",
25822928,1,LOT-0000,cpv,45,"43,44,71",
25822932,1,LOT-0000,cpv,45,"43,44,71",
25822952,1,LOT-0000,cpv,45,"43,44,71",
25822956,1,LOT-0000,cpv,45,"43,44,71",
25822964,1,LOT-0000,cpv,45,"43,44,71",
25822852,1,LOT-0000,cpv,45,"43,44,71",
25822856,1,LOT-0000,cpv,45,"43,44,71",
25825368,1,LOT-0000,cpv,45,"43,44,71",
25825372,1,LOT-0000,cpv,45,"43,44,71",
25825376,1,LOT-0000,cpv,45,"43,44,71",
25825384,1,LOT-0000,cpv,45,"43,44,71",
25825392,1,LOT-0000,cpv,45,"43,44,71",
25825396,1,LOT-0000,cpv,45,"43,44,71",
25825400,1,LOT-0000,cpv,45,"43,44,71",
25825404,1,LOT-0000,cpv,45,"43,44,71",
25825408,1,LOT-0000,cpv,45,"43,44,71",
25825412,1,LOT-0000,cpv,45,"43,44,71",
25825416,1,LOT-0000,cpv,45,"43,44,71",
25825420,1,LOT-0000,cpv,45,"43,44,71",
25825432,1,LOT-0000,cpv,45,"43,44,71",
25825440,1,LOT-0000,cpv,45,"43,44,71",
25821438,2,LOT-0000,cpv,45,"43,44,71",
25825348,1,LOT-0000,cpv,45,"43,44,71",
25825352,1,LOT-0000,cpv,45,"43,44,71",
25817140,2,LOT-0000,cpv,45,"43,44,71",
25635804,1,LOT-0000,cpv,45,"43,44,71",
25750966,2,LOT-0000,cpv,45,"43,44,71",
25744564,2,LOT-0000,cpv,45422000-1,,
25723776,3,LOT-0000,cpv,45234100,,
25823454,1,LOT-0000,cpv,45113000-2,45100000-8,
25719552,1,LOT-0000,cpv,45234116,,
25823356,1,LOT-0000,cpv,45443000-4,,
25823352,1,LOT-0000,cpv,45452000-0,45443000-4,
25827156,1,LOT-0000,cpv,45,"43,44,71",
25822756,1,LOT-0000,cpv,45,"43,44,71",
25822708,1,LOT-0000,cpv,45,"43,44,71",
25823406,1,LOT-0000,cpv,45111000-8,"45233200-1,45112700-2,45232410-9",
25823012,1,LOT-0000,cpv,45000000-7,45312000-7,
25825852,1,LOT-0000,cpv,45330000-9,,
25822632,1,LOT-0000,cpv,45,"43,44,71",
25822628,1,LOT-0000,cpv,45,"43,44,71",
25822624,1,LOT-0000,cpv,45,"43,44,71",
25822620,1,LOT-0000,cpv,45,"43,44,71",
25825660,1,LOT-0000,cpv,45233162-2,"45233161-5,45233120-6,45232000-2",
25823334,1,LOT-0000,cpv,45112500-0,,
25827188,1,LOT-0000,cpv,45,"43,44,71",
25823104,1,LOT-0000,cpv,45331000-6,,
25823326,1,LOT-0000,cpv,45260000-7,,
25827084,1,LOT-0000,cpv,45,"43,44,71",
25823348,1,LOT-0000,cpv,44115900-8,45212190-4,
25827184,1,LOT-0000,cpv,45,"43,44,71",
25823344,1,LOT-0000,cpv,45261210-9,45261410-1,
25823446,1,LOT-0000,cpv,45431000-7,"45311200-2,45332400-7,45442100-8",
25827180,1,LOT-0000,cpv,45,"43,44,71",
25827176,1,LOT-0000,cpv,45,"43,44,71",
25825462,1,LOT-0000,cpv,45233124,,
25826954,1,LOT-0000,cpv,45110000,"45111000,45111100",
25826978,1,LOT-0000,cpv,45,"43,44,71",
25822616,1,LOT-0000,cpv,45,"43,44,71",
25825844,1,LOT-0000,cpv,45330000-9,,
25826950,1,LOT-0000,cpv,45314000,32424000,
25826974,1,LOT-0000,cpv,45,"43,44,71",
25822584,1,LOT-0000,cpv,45,"43,44,71",
25823072,1,LOT-0000,cpv,45111250-5,45221250-9,
25823056,1,LOT-0000,cpv,45232130-2,,
25827172,1,LOT-0000,cpv,45,"43,44,71",
25823478,1,LOT-0000,cpv,45421131-1,45422000-1,
25823784,1,LOT-0000,cpv,45261210,,
25776550,2,LOT-0000,cpv,45210000,,
25823306,1,LOT-0000,cpv,45313100-5,,
25823474,1,LOT-0000,cpv,45410000-4,45443000-4,
25825840,1,LOT-0000,cpv,45330000-9,,
25823294,1,LOT-0000,cpv,45000000-7,,
25826942,1,LOT-0000,cpv,45316110,50232100,
25827168,1,LOT-0000,cpv,45,"43,44,71",
25822608,1,LOT-0000,cpv,45,"43,44,71",
25822604,1,LOT-0000,cpv,45,"43,44,71",
25822994,1,LOT-0000,cpv,45112723-9,,
25659566,4,LOT-0000,cpv,45234116,,
25825610,1,LOT-0000,cpv,45262660-5,,
25823366,1,LOT-0000,cpv,45000000-7,45240000-1,
25825606,1,LOT-0000,cpv,45442100-8,,
25823060,1,LOT-0000,cpv,45300000-0,45316212-4,
25825602,1,LOT-0000,cpv,45310000-3,,
25822800,1,LOT-0000,cpv,45,"43,44,71",
25823470,1,LOT-0000,cpv,45111200-0,"45220000-5,45000000-7,45221250-9,45246200-5,45262210-6,45111220-6",
25826918,1,LOT-0000,cpv,45234100,"45000000,45222000,45233200,45234116,45314310,45112700,45213321,45221250,45234000,79710000,79714000,63711000,45236000",
25822796,1,LOT-0000,cpv,45,"43,44,71",
25822990,1,LOT-0000,cpv,45200000-9,45230000-8,
25807478,2,LOT-0000,cpv,45421100,"45421130,45421132,45421131",
25822792,1,LOT-0000,cpv,45,"43,44,71",
25822592,1,LOT-0000,cpv,45,"43,44,71",
25825666,1,LOT-0000,cpv,45442100-8,,
25825636,1,LOT-0000,cpv,45261300-7,45261210-9,
25758778,3,LOT-0000,cpv,45000000,,
25823052,1,LOT-0000,cpv,45311200-2,,
25825586,1,LOT-0000,cpv,45233140-2,"45233120-6,45233222-1,45233141-9,45233200-1,45233252-0",
25822652,1,LOT-0000,cpv,45,"43,44,71",
25823772,1,LOT-0000,cpv,45112710,,
25826946,1,LOT-0000,cpv,45,"43,44,71",
25822568,1,LOT-0000,cpv,45,"43,44,71",
25823254,1,LOT-0000,cpv,45111100-9,45262660-5,
25825458,1,LOT-0000,cpv,45000000,,
25822564,1,LOT-0000,cpv,45,"43,44,71",
25823764,1,LOT-0000,cpv,45,"43,44,71",
25822740,1,LOT-0000,cpv,45,"43,44,71",
25822560,1,LOT-0000,cpv,45,"43,44,71",
25825442,1,LOT-0000,cpv,45000000,,
25826926,1,LOT-0000,cpv,45,"43,44,71",
25771066,2,LOT-0000,cpv,45421131,,
25823162,1,LOT-0000,cpv,45317300-5,"45311200-2,45315400-2,45315600-4,45317000-2,45311000-0,45315100-9",
25822700,1,LOT-0000,cpv,45,"43,44,71",
25823044,1,LOT-0000,cpv,45233280-5,"34928110-2,45233139-3,45233100-0",
25826922,1,LOT-0000,cpv,45,"43,44,71",
25825706,1,LOT-0000,cpv,45223220-4,"45112500-0,45262300-4,45262310-7",
25826914,1,LOT-0000,cpv,45,"43,44,71",
25826004,1,LOT-0000,cpv,45,"43,44,71",
25826008,1,LOT-0000,cpv,45,"43,44,71",
25823466,1,LOT-0000,cpv,45112200-7,"44912400-0,45221250-9,14212000-0",
25825702,1,LOT-0000,cpv,45324000-4,,
25823370,1,LOT-0000,cpv,90733200-6,"90733900-3,45000000-7,45245000-6",
25826886,1,LOT-0000,cpv,45233222,45247110,
25826906,1,LOT-0000,cpv,45,"43,44,71",
25823040,1,LOT-0000,cpv,42414100-2,45000000-7,
25823748,1,LOT-0000,cpv,45000000,,
25823170,1,LOT-0000,cpv,45324000-4,,
25825296,1,LOT-0000,cpv,45251143,,
25822552,1,LOT-0000,cpv,45,"43,44,71",
25823032,1,LOT-0000,cpv,45422000-1,,
25823016,1,LOT-0000,cpv,45111200-0,"77211400-6,45000000-7",
25823402,1,LOT-0000,cpv,45300000-0,45112700-2,
25822732,1,LOT-0000,cpv,45,"43,44,71",
25823654,1,LOT-0000,cpv,43324100,"45212212,45248000,45252120",
25825652,1,LOT-0000,cpv,45421130-4,45262670-8,
25822724,1,LOT-0000,cpv,45,"43,44,71",
25822728,1,LOT-0000,cpv,45,"43,44,71",
25822720,1,LOT-0000,cpv,45,"43,44,71",
25822712,1,LOT-0000,cpv,45,"43,44,71",
25822716,1,LOT-0000,cpv,45,"43,44,71",
25822696,1,LOT-0000,cpv,45,"43,44,71",
25822680,1,LOT-0000,cpv,45,"43,44,71",
25823724,1,LOT-0000,cpv,45,"43,44,71",
25827160,1,LOT-0000,cpv,45,"43,44,71",
25825454,1,LOT-0000,cpv,45410000,,
25822832,1,LOT-0000,cpv,45,"43,44,71",
25822676,1,LOT-0000,cpv,45,"43,44,71",
25822640,1,LOT-0000,cpv,45,"43,44,71",
25823226,1,LOT-0000,cpv,45000000-7,,
25822548,1,LOT-0000,cpv,45,"43,44,71",
25822528,1,LOT-0000,cpv,45,"43,44,71",
25823140,1,LOT-0000,cpv,45243510-0,45240000-1,
25827148,1,LOT-0000,cpv,45,"43,44,71",
25822474,1,LOT-0000,cpv,45,"43,44,71",
25822536,1,LOT-0000,cpv,45,"43,44,71",
25825670,1,LOT-0000,cpv,45262300-4,"45000000-7,45232400-6,45247110-4",
25826854,1,LOT-0000,cpv,45313100,,
25825516,1,LOT-0000,cpv,45,"43,44,71",
25825536,1,LOT-0000,cpv,45,"43,44,71",
25825544,1,LOT-0000,cpv,45,"43,44,71",
25825552,1,LOT-0000,cpv,45,"43,44,71",
25825484,1,LOT-0000,cpv,45,"43,44,71",
25823136,1,LOT-0000,cpv,45240000-1,,
25823492,1,LOT-0000,cpv,45000000-7,,
25825640,1,LOT-0000,cpv,45431000-7,45431100-8,
25825798,1,LOT-0000,cpv,45233120-6,,
25825832,1,LOT-0000,cpv,45233120-6,,
25825748,1,LOT-0000,cpv,45250000-4,,
25826000,1,LOT-0000,cpv,42512300-1,"45331000-6,45315000-8",
25826028,1,LOT-0000,cpv,45,"43,44,71",
25826032,1,LOT-0000,cpv,45,"43,44,71",
25826036,1,LOT-0000,cpv,45,"43,44,71",
25826044,1,LOT-0000,cpv,45,"43,44,71",
25826086,1,LOT-0000,cpv,45262660-5,,
25826012,1,LOT-0000,cpv,45,"43,44,71",
25826016,1,LOT-0000,cpv,45262670-8,,
25826058,1,LOT-0000,cpv,45112700-2,,
25825836,1,LOT-0000,cpv,45341000-9,45340000-2,
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
b0f6fa43-92ac-4e7c-a8c9-55e3487121b0,2,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
cb0b417c-4949-40cb-babb-8d35ac5ecb26,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
86a622d6-b5c8-42ae-8e4e-834ac610f252,2,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
a9a248f5-fa5a-471c-8cb2-30ea888267a3,2,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
533019ec-0a4e-4ace-b65a-80ad779a29ec,01,LOT-0000,cpv,45000000,,
b8c743e3-0629-4d28-9e6f-5a669b05f017,01,LOT-0000,cpv,45000000,,
57f6110d-aabb-4481-b481-a36e978c631c,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
c62abfd1-f12f-483b-ad30-083a126132f6,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
25827258,1,LOT-0000,cpv,45232000-2,,
25827454,1,LOT-0000,cpv,45240000-1,,
25827482,1,LOT-0000,cpv,45,"43,44,71",
